ecc,freq
1e-07,12.01443285218553
1.2415371850064104e-07,12.01443342714079
1.5414145817536454e-07,12.014435814753082
1.9137235207582544e-07,12.014432779566695
2.3759589128427652e-07,12.014433535720567
2.949841340341698e-07,12.014424700435585
3.662337713903369e-07,12.014434444158551
4.5469284558624114e-07,12.014426191497979
5.645180755516963e-07,12.01442680969049
7.008701824056906e-07,12.01442584257599
8.701563933188907e-07,12.014427043541078
1.0803315190764665e-06,12.014426417540301
1.3412717530678983e-06,12.014426453775814
1.665238756632532e-06,12.014425313204166
2.067455838273133e-06,12.014424399863673
2.5668233015746943e-06,12.01442343599541
3.186806576245907e-06,12.014421214703306
3.956538865832268e-06,12.01441896495738
4.912190125853851e-06,12.014422430283497
6.098666701068888e-06,12.014421926423815
7.5717214883374e-06,12.014425264545755
9.400573782282964e-06,12.01443433960879
1.1671161911100682e-05,12.01444274750876
1.4490181504862008e-05,12.014445824761303
1.7990099155778334e-05,12.014427555461062
2.2335377063851234e-05,12.014435341786687
2.7730201165910607e-05,12.014434972456652
3.442807589518621e-05,12.014434456651832
4.274373643209663e-05,12.014418676507603
5.306793820656121e-05,12.014423568807159
6.588581861506814e-05,12.014419815058309
8.179969377519468e-05,12.01443240597513
0.0001015573615440418,12.014426273939572
0.0001260872407680681,12.01442995617923
0.00015654199796841294,12.0144315996187
0.00019435271149298265,12.014433395548634
0.00024129611832536096,12.014425114938897
0.0002995781034986427,12.014432113432688
0.0003719373553072644,12.01444113352399
0.00046177405710691065,12.014429680943534
0.0005733096629695033,12.014421842374233
0.0007117852651001318,12.01443224923801
0.0008837078743614603,12.014418939891515
0.0010971561867027262,12.014426033978085
0.0013621602035512731,12.014384963088999
0.0016911725446448068,12.014377330174465
0.002099653600438446,12.014360741659772
0.002606798020576923,12.014304491512512
0.0032364366763473628,12.014256089781265
0.004018156480603808,12.014156873737555
0.004988690685844118,12.01397907947047
0.006193644990970618,12.01375086346195
0.007689640567018716,12.013391998406723
0.009546974703287536,12.012822805549659
0.011852924098447019,12.011938857628325
0.014715846019280557,12.010587282031038
0.018270270041765412,12.008524616667241
0.022683219636960388,12.005300224011647
0.02816206065495399,12.000366369467596
0.034964245509531366,11.992728116176743
0.043409410945776605,11.981030942562823
0.053894397868406066,11.962963705233221
0.06691189901715636,11.935186154303324
0.08307361074919369,11.892511139491848
0.10313897683787221,11.827085332265684
0.12805087496773324,11.726282194183096
0.1589799228450477,11.570459380462845
0.19737948588157686,11.333733676903298
0.24505397127942602,10.971789783201777
0.30424361767690034,10.42228349326887
0.37772976464674546,9.597057922825522
0.4689655486926553,8.375372237634156
0.582238167188866,6.607850221263843
0.722870335094958,4.161888083626383
0.8974704009584349,1.1550100233625353
